method,round,acc,f1
FLAME,49,98.55,62.34
Ours,0,41.75,5.82
Ours,1,63.5,7.83
Ours,2,81.25,12.18
Ours,3,94.25,30.3
Ours,4,98.7,59.38
Ours,5,98.65,54.24
Ours,6,98.5,44.44
Ours,7,98.2,25.0
Ours,8,98.2,25.0
Ours,9,98.1,17.39
Ours,10,97.95,4.65
Ours,11,98.0,9.09
Ours,12,97.9,0.0
Ours,13,97.9,0.0
Ours,14,97.9,0.0
Ours,15,97.9,0.0
Ours,16,97.9,0.0
Ours,17,97.9,0.0
Ours,18,97.95,4.65
Ours,19,97.9,0.0
Ours,20,97.9,0.0
Ours,21,97.9,0.0
Ours,22,97.95,4.65
Ours,23,98.0,9.09
Ours,24,98.0,9.09
Ours,25,97.9,0.0
Ours,26,98.0,9.09
Ours,27,98.0,9.09
Ours,28,98.0,9.09
Ours,29,98.05,13.33
Ours,30,98.1,17.39
Ours,31,98.1,17.39
Ours,32,98.1,17.39
Ours,33,98.1,17.39
Ours,34,98.15,21.28
Ours,35,98.15,21.28
Ours,36,98.15,21.28
Ours,37,98.2,25.0
Ours,38,98.2,25.0
Ours,39,98.3,32.0
Ours,40,98.3,32.0
Ours,41,98.35,35.29
Ours,42,98.45,41.51
Ours,43,98.45,41.51
Ours,44,98.45,41.51
Ours,45,98.5,44.44
Ours,46,98.5,44.44
Ours,47,98.5,44.44
Ours,48,98.5,44.44
Ours,49,98.5,44.44
